PRODUCT,HOME PAGE,PRODUCT CATEGORY,PRODUCT DESCRIPTION,AFFILIATED GITHUB REPOSITORIES
Dérouleuse à plastique,http://www.latelierpaysan.org/Derouleuse-a-plastiques,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,Mulching film dispenser,
DIYLILCNC,http://diylilcnc.org/,Industrial Manufacturing and Processing Machinery and Accessories,CNC mill,
Do-It-Yourself SLS Printer,https://www.indiegogo.com/projects/you-sls-the-first-desktop-open-source-lasers…,Industrial Manufacturing and Processing Machinery and Accessories,Selective laser sintering machine,
Double Pendulum,https://imaginary.org/hands-on/double-pendulum,Politics and Civic Affairs Services,museum exhibits,
DropBot,http://microfluidics.utoronto.ca/dropbot/,Laboratory and Measuring and Observing and Testing Equipment,Digital Microfluidic (DMF) automation system,
Dryer Leia,https://github.com/Gillou38/Drying-open-source-solution,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,vegetable dryer,Gillou38/Drying-open-source-solution
Dtto Modular Robot,https://hackaday.io/project/9976-dtto-explorer-modular-robot,Laboratory and Measuring and Observing and Testing Equipment,Modular self-reconfigurable robot,otrebla333/Dtto-Modular-Robot
echOpen,http://echopen.org/,Medical Equipment and Accessories and Supplies,ultrasound stethoscope,echopen/PRJ-medtec_kit;echopen/PRJ-echo_bench
eCorolla,http://ecars-now.wikidot.com/ecars:electric-toyota-corolla,Commercial and Military and Private Vehicles and their Accessories and Components,car,
EDAG Light Car,http://www.edag-light-car.com/index_en.html,Commercial and Military and Private Vehicles and their Accessories and Components,car,
Electric Vehicle,http://www.instructables.com/id/Electric-Vehicle-A-simple-lightweight-EV-platfo…,Commercial and Military and Private Vehicles and their Accessories and Components,electric vehicle platform,
Eletric eel wheel,http://www.electriceelwheel.com/wp/open-source-files/,Industrial Manufacturing and Processing Machinery and Accessories,spinning wheel,
Eliodomestico,http://www.gabrielediamanti.com/projects/eliodomestico,Domestic Appliances and Supplies and Consumer Electronic Products,solar household still,
elphel Eyesis4Pi 393,http://www3.elphel.com/eyesis4pi-393,Printing and Photographic and Audio and Visual Equipment and Supplies,Stereophotogrammetric camera,
e-puck,http://www.e-puck.org,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,educational robot,
EQ-1 Headphones,https://www.thingiverse.com/thing:674179,Information Technology Broadcasting and Telecommunications,headphones,
Fab@Home,https://en.wikipedia.org/wiki/Fab@Home,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,karlgluck/fabathome
FABOOL Laser CO2,https://www.wevolver.com/yoshiya.arii/fabool-laser-co2/fe84b74-main/description/,Industrial Manufacturing and Processing Machinery and Accessories,laser cutter,
Faraday Motion Hyperboard,http://blog.faradaymotion.com/hyperboard/,sports and Recreational Equipment and Supplies and Accessories,skateboard,faraday-motion/faradaymotion-hyperboard-3dmodels
Faraday Motion Spine,http://www.faradaymotion.com/hyperboard/,Commercial and Military and Private Vehicles and their Accessories and Components,Electric skateboard,faraday-motion/faradaymotion-spine-3dmodels
Farm Hack's Root washer,http://farmhack.org/tools/root-washer,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,Root washer,
FarmBot,https://farmbot.io/,Industrial Manufacturing and Processing Machinery and Accessories,CNC Farming machine,
F-F-Fiddle,http://openfabpdx.com/fffiddle/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,3D printable electric violin,
Field Ready Lifting Airbag System,https://docubricks.com/viewer.jsp?id=1727725479626842112,Politics and Civic Affairs Services,Lifting airbag system for rescue operation,
Film-Retter Inline cleaner,https://www.super-8.com/film-reiniger.html,Printing and Photographic and Audio and Visual Equipment and Supplies,super 8 film cleaner,
FlexBot,http://www.flexbot.cc/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,Quadcopter,HexAirbot/flexbot-design;HexAirbot/HexNanoMWC_HEX;HexAirbot/HexNanoMWC_QUAD;HexAirbot/FlexBLE;HexAirbot/Board
FLOAT Beijing,https://www.kickstarter.com/projects/replaymy/smart-air-kites-float-beijing,Laboratory and Measuring and Observing and Testing Equipment,air quality measuring kite,
FluoPi,https://www.biomaker.org/projects/open-source-autonomous-imaging-station,Laboratory and Measuring and Observing and Testing Equipment,Fluorescence Imaging Station,SynBioUC/FluoPi
bGeigie,https://github.com/Safecast/General/wiki/Safecast-Devices,Laboratory and Measuring and Observing and Testing Equipment,sensor device for environmental parameters,Safecast/bGeigie3;Safecast/bGeigieNano-wifi;Safecast/bGeigieNanoKit
GEK Gasifier,http://www.allpowerlabs.com/,Power Generation and Distribution Machinery and Accessories,gasifier,
Gesture Keyboard,https://www.seeed.cc/Control Your Music Players with Hand Gestures-p-2024.html,Information Technology Broadcasting and Telecommunications,gesture control device,
GoodEnoughCNC,http://goodenoughcnc.eu/hybrid-cnc/,Industrial Manufacturing and Processing Machinery and Accessories,Plasma cutter,IRNAS/ToslinkCNC;IRNAS/GoodEnoughCNC-PlasmaCutter;IRNAS/GoodEnoughCNC-instructions
Guest studio 240 sf,http://www.openbuildinginstitute.org/portfolio/studio-12x16/,Structures and Building and Construction and Manufacturing Components and Supplies,house,
HACKberry,http://exiii-hackberry.com/,Medical Equipment and Accessories and Supplies,3D-printed bionic hand,mission-arm/HACKberry
handibot,https://handibot.com/,Industrial Manufacturing and Processing Machinery and Accessories,portable CNC tool,Handibot/handibot-hardware
Hard Drive Centrifuge,http://www.gaudi.ch/GaudiLabs/?page_id=328,Laboratory and Measuring and Observing and Testing Equipment,centrifuge as part of generic lab equipment,
Helium,https://www.crowdsupply.com/blueshift/helium-the-first-supercapacitor-powered-p…,Information Technology Broadcasting and Telecommunications,portable speaker,blueshiftPDX/Helium
Hexayurt,http://hexayurt.com/,Politics and Civic Affairs Services,disaster relief shelter,
Hexy,http://arcbotics.com/products/hexy/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,hexapod robot,ArcBotics/Hexy
HIEBO 4 lamp,http://mifactori.de/hiebo-4/,Domestic Appliances and Supplies and Consumer Electronic Products,lamp,
Hovalin,http://www.hovalin.com/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,violin,
HROS Humanoid Endoskeleton,https://interbotix.com/HR-OS1,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,Humanoid robot,Interbotix/ArbotixPro;Interbotix/HROS1-3D-Models;Interbotix/ArbotixM-Hardware;Interbotix/HROS5-3D-Models
Hughski ColorHug2,http://www.hughski.com/,Laboratory and Measuring and Observing and Testing Equipment,Display colorimeter,hughski/colorhug1-hardware;hughski/colorhug-plus-hardware;hughski/colorhug-plus-model;hughski/colorhug2-hardware;hughski/colorhug-als-hardware
iCub,http://www.icub.org/,Laboratory and Measuring and Observing and Testing Equipment,humanoid robot,
InMoov,http://inmoov.fr/,Laboratory and Measuring and Observing and Testing Equipment,humanoid robot,
KidCareTV,https://bitbucket.org/emone_th/kidcaretv/wiki/Home,Domestic Appliances and Supplies and Consumer Electronic Products,Video switch for TV,
Kit zéro Km,http://www.1083.fr/jeans.html,Apparel and Luggage and Personal Care Products,jeans,
Knitic,http://www.varvarag.info/circular-knitic/,Industrial Manufacturing and Processing Machinery and Accessories,Knitting machine,var-mar/circular_knitic
KORUZA,http://scientific.koruza.net/about-koruza-1.0/,Information Technology Broadcasting and Telecommunications,wireless optical internet-access system,IRNAS/KORUZA;IRNAS/koruza-hs-flex;IRNAS/koruza-accelerometer-module;IRNAS/koruza-compute-module;IRNAS/koruza-power-module;board_v0.1/koruza-hs-holder-PCB;IRNAS/KORUZA-testing;IRNAS/koruza-hs-boards;IRNAS/koruza-hs-rigid;IRNAS/KORUZA-router;IRNAS/KORUZA-instructions
Laboratory Sample Rotator,http://www.sciencedirect.com/science/article/pii/S2468067216300049,Laboratory and Measuring and Observing and Testing Equipment,Laboratory sample rotator,
Lasersaur,http://www.lasersaur.com/,Industrial Manufacturing and Processing Machinery and Accessories,laser cutter,nortd/lasersaur
L'atelier s'adapte / table … langer,http://lateliersadapte.org/tag/table-a-langer/,Medical Equipment and Accessories and Supplies,changing table,
Le Petit COOL,http://lacool.co/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,personal smart greenhouse,LaCoolCo/LePetitCOOL
LEGO(R) Bricks Michelson Interferometer,http://www.myphotonics.eu/,Laboratory and Measuring and Observing and Testing Equipment,optomechanic workbenches,
littleRP,http://www.littlerp.com/,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,goopyplastic/littlerp;goopyplastic/littlerp2;goopyplastic/tslot-tantillus;goopyplastic/tslot-i3-y-axis
LiveWire,https://www.wevolver.com/miebi.sikoki/livewire/main/description,Industrial Manufacturing and Processing Machinery and Accessories,CNC wire bender,
Lixie,https://hackaday.io/project/18633-lixie-an-led-alternative-to-the-nixie-tube#me…,Domestic Appliances and Supplies and Consumer Electronic Products,Nixie tubes,connornishijima/Lixie-hardware;connornishijima/lixie_two_hardware
Local motors' Rallye Fighter,https://launchforth.io/localmotors/rally-fighter/latest/,Commercial and Military and Private Vehicles and their Accessories and Components,car,
Logresse,https://www.logre.eu/wiki/Logresse,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,
LuzBot Taz 5,https://www.lulzbot.com/,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,
Lyman Filament Extruder V6,http://www.thingiverse.com/thing:1199870,Industrial Manufacturing and Processing Machinery and Accessories,waste plastic extruder,
Machine design template,https://github.com/Axford/OpenSCADMachineDesignFramework,Engineering and Research and Technology Based Services,Re-usable framework for complex machine design in OpenSCAD,Axford/OpenSCADMachineDesignFramework;Axford/OpenSCAD_Machine_Design_Template
Maker Plane,https://makerplane.org/,Commercial and Military and Private Vehicles and their Accessories and Components,Plane,
MakerScanner,http://www.makerscanner.com/,Industrial Manufacturing and Processing Machinery and Accessories,3D scanner,andybarry/makerscanner
MAKI robot,https://www.peachybots.com/robots,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,emotive humanoid robot,
Meeblip Anode,https://meeblip.com/products/meeblip-anode-synth,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,synthesizer,MeeBlip/meeblip-anode
MeeBlip Triode,https://meeblip.com/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,Synthesizer,MeeBlip/meeblip-triode;MeeBlip/meeblip-design;MeeBlip/meeblip-circuits
Meggy Jr RGB,https://www.evilmadscientist.com/2008/meggy-jr-rgb/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,Game platform,evil-mad/MeggyJrRGB
Metal-Cutting-CNC,https://github.com/zenmanenergy/Metal-Cutting-CNC,Industrial Manufacturing and Processing Machinery and Accessories,CNC metal cutter,zenmanenergy/Metal-Cutting-CNC
Micromanipulator,https://open-labware.net/projects/micromanipulator/,Laboratory and Measuring and Observing and Testing Equipment,micropositioning device,
Microspot,https://github.com/gvJaime/microspot,Medical Equipment and Accessories and Supplies, portable automated microscope ,gvJaime/microspot
mobilECG,http://mobilecg.hu/,Medical Equipment and Accessories and Supplies,mobile electrocardiography device,openmeddev/MobilECG-II
Model T (Yale OpenHand Project),https://www.eng.yale.edu/grablab/openhand/,Medical Equipment and Accessories and Supplies,prothestic hand,grablab/openhand-hardware
Multimachine,http://opensourcemachine.org/,Industrial Manufacturing and Processing Machinery and Accessories,machine tool,
Multiplo,https://github.com/multiplo,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,robotics building system,multiplo/mechanics;multiplo/electronics
Mutable Instruments - Grid,https://mutable-instruments.net/modules/grids/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,Topographic drum sequencer,pichenettes/eurorack
Mycroft Mark 1,https://mycroft.ai/,Information Technology Broadcasting and Telecommunications,AI assistant,MycroftAI/hardware-mycroft-mark-1
Neurobytes,http://www.neurotinker.com/neurobytes/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,electronic neurons,zakqwy/NeuroBytes;zakqwy/NeuroBytes-v04
Neuroon,https://neuroonopen.com/,Domestic Appliances and Supplies and Consumer Electronic Products,Electronic sleeping mask,inteliclinic/NeuroonOpenHardwareDocumentation
ng.uavp,http://ng.uavp.ch/FrontPage,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,quadcopter,
NimbRo-OP,http://www.nimbro.net/OP/,Laboratory and Measuring and Observing and Testing Equipment,humanoid robot,NimbRo/nimbro-op;NimbRo/nimbro-op2
Nixie Pipe,http://www.nixiepipe.com/,Domestic Appliances and Supplies and Consumer Electronic Products,Day nixie tube,tuna-f1sh/nixiepipe-hardware
NMR Relaxometry Platform,http://www.opensourceimaging.org/project/nmr-relaxometry-platform/,Laboratory and Measuring and Observing and Testing Equipment,NMR Relaxometry Platform,mtwieg/NMR
OF1 Openfoil,https://www.facebook.com/Openfoil/,Sports and Recreational Equipment and Supplies and Accessories,Hydrofoils for kitesurf,ludopenfoil/OF1;ludopenfoil/OF2
Oggún iron horse tractor,http://thinkoggun.com/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,tractor,
open beam,http://www.openbeamusa.com/,Manufacturing Components and Supplies,aluminium profiles,
Open ECG,http://www.gammacardiosoft.it/openecg/getting_started.htm,Medical Equipment and Accessories and Supplies,electro-cardiograph,
Open Energy Monitor emonGLCD,https://openenergymonitor.org/,Electrical Systems and Lighting and Components and Accessories and Supplies,,openenergymonitor/EmonGLCD
Open Energy Monitor emonPi,https://openenergymonitor.org/,Electrical Systems and Lighting and Components and Accessories and Supplies,energy monitoring systems,openenergymonitor/emonpi;openenergymonitor/Hardware
Open Energy Monitor emonTH,https://openenergymonitor.org/,Electrical Systems and Lighting and Components and Accessories and Supplies,,openenergymonitor/emonTH;openenergymonitor/emontx3;openenergymonitor/emonth2;openenergymonitor/emontx2;openenergymonitor/emontx-shield
Open Gigabot,https://re3d.org/gigabot/,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,
Open source beehives,http://opensourcebeehives.net/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,beehive,
Open Source metal 3D printer,http://www.appropedia.org/Open-source_metal_3-D_printer,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,
open source roaster,https://caffedolcealchemia.com/open-source/,Domestic Appliances and Supplies and Consumer Electronic Products,coffee roaster,
Open Spin Microscopy,https://sites.google.com/site/openspinmicroscopy/,Laboratory and Measuring and Observing and Testing Equipment,SPIM/DSLM/OPT microscopes platform,
Open structures' OpenCargoBike,http://beta.openstructures.net/pages/14/structures/3,Commercial and Military and Private Vehicles and their Accessories and Components,cargo bike,
Open wheels,http://www.openwheels.cc/,Commercial and Military and Private Vehicles and their Accessories and Components,segway,
Open.Theremin,http://www.gaudi.ch/OpenTheremin/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,Theremin,GaudiLabs/OpenTheremin_V3_Shield;GaudiLabs/OpenTheremin_Shield
OpenBCI,http://openbci.com,Information Technology Broadcasting and Telecommunications,Brain-computer interface platform,OpenBCI/Ganglion_Hardware_Design_Files;OpenBCI/V3_Hardware_Design_Files;OpenBCI/OpenBCI-V2hardware-DEPRECATED;OpenBCI/Ultracortex;OpenBCI/3D-printed-electrode
OpenBikeWorks' HubJohn,http://openbikeworks.blogspot.de/p/what.html,Commercial and Military and Private Vehicles and their Accessories and Components,Cargo bike,
OpenBugFarm,http://www.openbugfarm.com/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,bug farm kit,TinyFarms/OpenBugFarm
OpenDesk's Lean Desk,https://www.opendesk.cc/,Furniture and Furnishings,table,
OpenEV Charging Station,https://www.openevse.com/,Commercial and Military and Private Vehicles and their Accessories and Components,Electric Vehicle Charging Station Controller,
OpenEVSE,https://store.openevse.com/,Commercial and Military and Private Vehicles and their Accessories and Components,Electric vehicle charging station,OpenEVSE/Enclosures;OpenEVSE/OpenEVSE_EV_Simulator;OpenEVSE/DIY_OpenEVSE_PLUS;OpenEVSE/OpenEVSE_PLUS;OpenEVSE/OpenEVSE_LCD;OpenEVSE/OpenEVSE_LED
OpenFeeder,https://openfeeder.github.io/,Live Plant and Animal Material and Accessories and Supplies,bird automatic feeder,OpenFeeder/mechanics;OpenFeeder/electronics
OpenFeeder,https://www.sciencedirect.com/science/article/pii/S2468067216300050,Live Plant and Animal Material and Accessories and Supplies,bird automatic feeder,jinook0707/openfeeder
OpenFlexure Microscope,http://docubricks.com/viewer.jsp?id=1967334747077765120,Laboratory and Measuring and Observing and Testing Equipment,microscope,rwb27/openflexure_microscope;rwb27/openflexure_dissection_microscope;rwb27/openflexure_block_stage;rwb27/openflexure_nano_motor_controller;rwb27/openflexure_linearised_xy_stage
OpenKnit,http://openknit.org/,Industrial Manufacturing and Processing Machinery and Accessories,Knitting machine,g3rard/OpenKnit
Openmoko,http://wiki.openmoko.org/wiki/Main_Page,Information Technology Broadcasting and Telecommunications,smartphone,
OpenPCR,http://openpcr.org/,Laboratory and Measuring and Observing and Testing Equipment,PRC thermocycle,
OpenPipe,http://openpipe.cc/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,Galician bagpipe,openpipelabs/midi-usb-shield-hardware;openpipelabs/openpipe-mozzi-shield;
OpenPnP-OpenBuilds,http://openpnp.org/,Industrial Manufacturing and Processing Machinery and Accessories,SMT pick and place machine,openpnp/openpnp-openbuilds
OpenQCM,http://openqcm.com/technology,Laboratory and Measuring and Observing and Testing Equipment,Quartz Crystal Microbalance,
OpenROV,http://www.openrov.com/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,submarine robot,OpenROV/openrov-hardware;OpenROV/openrov-electronics
OPenT,https://sites.google.com/site/openspinmicroscopy/home/opt,Medical Equipment and Accessories and Supplies,optical tomography device,
